Category,Type,Character1,Pinyin1,Frequency1,Character2,Pinyin2,Frequency2,Difficulty,Notes
Complex,Palatal-Retroflex: q-sh,气,qi4,173,士,shi4,43,Hard,Alternating: 气气士气士士 (qi4-qi4-shi4-qi4-shi4-shi4)
Complex,Palatal-Dental: j-s,己,ji3,153,死,si3,63,Hard,Alternating: 己己死己死死 (ji3-ji3-si3-ji3-si3-si3)
Complex,Retroflex-Dental: zh-s,知,zhi1,205,嘶,si1,10,Hard,Alternating: 知知嘶知嘶嘶 (zhi1-zhi1-si1-zhi1-si1-si1)
Complex,Retroflex-Dental: sh-c,事,shi4,139,次,ci4,76,Hard,Alternating: 事事次事次次 (shi4-shi4-ci4-shi4-ci4-ci4)
Complex,Palatal-Retroflex: j-sh,己,ji3,153,使,shi3,61,Hard,Alternating: 己己使己使使 (ji3-ji3-shi3-ji3-shi3-shi3)
Complex,Retroflex-Palatal: zh-q,知,zhi1,205,七,qi1,8,Hard,Alternating: 知知七知七七 (zhi1-zhi1-qi1-zhi1-qi1-qi1)
Complex,Retroflex-Palatal: zh-j,知,zhi1,205,机,ji1,8,Hard,Alternating: 知知机知机机 (zhi1-zhi1-ji1-zhi1-ji1-ji1)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,悉,xi1,7,Hard,Alternating: 知知悉知悉悉 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,膝,xi1,7,Hard,Alternating: 知知膝知膝膝 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
Complex,Retroflex-Palatal: sh-j,时,shi2,195,极,ji2,16,Hard,Alternating: 时时极时极极 (shi2-shi2-ji2-shi2-ji2-ji2)
Complex,Retroflex-Dental: sh-z,事,shi4,139,字,zi4,72,Hard,Alternating: 事事字事字字 (shi4-shi4-zi4-shi4-zi4-zi4)
Complex,Palatal-Dental: q-s,气,qi4,173,四,si4,37,Hard,Alternating: 气气四气四四 (qi4-qi4-si4-qi4-si4-si4)
Complex,Dental-Retroflex: z-sh,走,zou3,206,首,shou3,3,Hard,Alternating: 走走首走首首 (zou3-zou3-shou3-zou3-shou3-shou3)
Complex,Retroflex-Dental: zh-s,知,zhi1,205,司,si1,4,Hard,Alternating: 知知司知司司 (zhi1-zhi1-si1-zhi1-si1-si1)
Complex,Retroflex-Palatal: zh-j,知,zhi1,205,基,ji1,4,Hard,Alternating: 知知基知基基 (zhi1-zhi1-ji1-zhi1-ji1-ji1)
Complex,Retroflex-Palatal: zh-j,知,zhi1,205,讥,ji1,4,Hard,Alternating: 知知讥知讥讥 (zhi1-zhi1-ji1-zhi1-ji1-ji1)
Complex,Dental-Retroflex: z-sh,自,zi4,175,视,shi4,34,Hard,Alternating: 自自视自视视 (zi4-zi4-shi4-zi4-shi4-shi4)
Complex,Palatal-Retroflex: q-zh,奇,qi2,136,直,zhi2,73,Hard,Alternating: 奇奇直奇直直 (qi2-qi2-zhi2-qi2-zhi2-zhi2)
Complex,Dental-Retroflex: z-ch,走,zou3,206,丑,chou3,2,Hard,Alternating: 走走丑走丑丑 (zou3-zou3-chou3-zou3-chou3-chou3)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,夕,xi1,3,Hard,Alternating: 知知夕知夕夕 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
Complex,Retroflex-Palatal: zh-q,知,zhi1,205,妻,qi1,3,Hard,Alternating: 知知妻知妻妻 (zhi1-zhi1-qi1-zhi1-qi1-qi1)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,晰,xi1,3,Hard,Alternating: 知知晰知晰晰 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
Complex,Dental-Retroflex: z-ch,走,zou3,206,瞅,chou3,1,Hard,Alternating: 走走瞅走瞅瞅 (zou3-zou3-chou3-zou3-chou3-chou3)
Complex,Dental-Retroflex: z-zh,走,zou3,206,肘,zhou3,1,Hard,Alternating: 走走肘走肘肘 (zou3-zou3-zhou3-zou3-zhou3-zhou3)
Complex,Retroflex-Palatal: zh-j,知,zhi1,205,叽,ji1,2,Hard,Alternating: 知知叽知叽叽 (zhi1-zhi1-ji1-zhi1-ji1-ji1)
Complex,Retroflex-Palatal: zh-j,知,zhi1,205,姬,ji1,2,Hard,Alternating: 知知姬知姬姬 (zhi1-zhi1-ji1-zhi1-ji1-ji1)
Complex,Retroflex-Dental: zh-s,知,zhi1,205,撕,si1,2,Hard,Alternating: 知知撕知撕撕 (zhi1-zhi1-si1-zhi1-si1-si1)
Complex,Retroflex-Dental: zh-z,知,zhi1,205,滋,zi1,2,Hard,Alternating: 知知滋知滋滋 (zhi1-zhi1-zi1-zhi1-zi1-zi1)
Complex,Retroflex-Dental: zh-s,知,zhi1,205,私,si1,2,Hard,Alternating: 知知私知私私 (zhi1-zhi1-si1-zhi1-si1-si1)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,稀,xi1,2,Hard,Alternating: 知知稀知稀稀 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
Complex,Palatal-Retroflex: q-sh,气,qi4,173,视,shi4,34,Hard,Alternating: 气气视气视视 (qi4-qi4-shi4-qi4-shi4-shi4)
Complex,Retroflex-Palatal: zh-x,知,zhi1,205,兮,xi1,1,Hard,Alternating: 知知兮知兮兮 (zhi1-zhi1-xi1-zhi1-xi1-xi1)
